,Admin2,Province_State,Lat,Long_
516,BARRA DE SAO MIGUEL,ALAGOAS,-9.83842,-35.9057
517,BARRA DO BUGRES,MATO GROSSO,-15.0702,-57.1878
518,BARRA DO CHAPEU,SAO PAULO,-24.4722,-49.0238
519,BARRA DO CHOCA,BAHIA,-14.8654,-40.5791
520,BARRA DO CORDA,MARANHAO,-5.49682,-45.2485
521,BARRA DO GARCAS,MATO GROSSO,-15.8804,-52.263999999999996
522,BARRA DO GUARITA,RIO GRANDE DO SUL,-27.1927,-53.7109
523,BARRA DO JACARE,PARANA,-23.116,-50.1842
524,BARRA DO MENDES,BAHIA,-11.81,-42.059
525,BARRA DO OURO,TOCANTINS,-7.695930000000001,-47.6776
526,BARRA DO PIRAI,RIO DE JANEIRO,-22.4715,-43.8269
527,BARRA DO QUARAI,RIO GRANDE DO SUL,-30.2029,-57.5497
528,BARRA DO RIBEIRO,RIO GRANDE DO SUL,-30.2939,-51.3014
529,BARRA DO RIO AZUL,RIO GRANDE DO SUL,-27.4069,-52.4084
